number,status,codeshareStatus,isCargo,scheduled_utc,revised_utc,gate,dest_iata,dest_name,dest_country,airline_name,airline_iata,aircraft_model,delay_min,is_outlier,dep_hour,dep_dow,dep_month,is_weekend,route,route_avg_delay,aircraft_family
LX 1792,Departed,IsOperator,False,2025-10-09 04:35:00+00:00,2025-10-09 04:35:00+00:00,A53,MLA,Luqa,mt,SWISS,LX,Airbus A220-300,0.0,False,4,3,10,0,MLA,9.49090909090909,Narrow-body
WK 150,Departed,IsOperator,False,2025-10-09 04:35:00+00:00,2025-10-09 04:35:00+00:00,D31,RMF,Marsa Alam,eg,Edelweiss Air,WK,Airbus A320,0.0,False,4,3,10,0,RMF,3.9135802469135803,Narrow-body
CS 446,Departed,IsOperator,False,2025-10-09 04:40:00+00:00,2025-10-09 04:40:00+00:00,E58,RMF,Marsa Alam,eg,Comlux Aruba,CS,Airbus A320,0.0,False,4,3,10,0,RMF,3.9135802469135803,Narrow-body
IU 804,Departed,IsOperator,False,2025-10-09 04:43:00+00:00,2025-10-09 04:43:00+00:00,Unknown,KGS,Kos Island,gr,SW Italia,IU,Airbus A319,0.0,False,4,3,10,0,KGS,3.0,Narrow-body
WK 402,Departed,IsOperator,False,2025-10-09 04:45:00+00:00,2025-10-09 04:45:00+00:00,D54,PRN,Prishtina,ks,Edelweiss Air,WK,Airbus A320,0.0,False,4,3,10,0,PRN,9.268987341772151,Narrow-body
LX 1880,Departed,IsOperator,False,2025-10-09 04:55:00+00:00,2025-10-09 04:55:00+00:00,A52,CLJ,Cluj-Napoca,ro,SWISS,LX,Embraer 190,0.0,False,4,3,10,0,CLJ,3.3333333333333335,Regional
LX 1068,Departed,IsOperator,False,2025-10-09 04:55:00+00:00,2025-10-09 04:55:00+00:00,B04,FRA,Frankfurt-am-Main,de,SWISS,LX,Embraer 190,0.0,False,4,3,10,0,FRA,7.53932584269663,Regional
LX 1390,Departed,IsOperator,False,2025-10-09 04:50:00+00:00,2025-10-09 05:00:00+00:00,A55,SOF,Sofia,bg,SWISS,LX,Embraer 190,10.0,False,4,3,10,0,SOF,6.219512195121951,Regional
LX 2020,Departed,IsOperator,False,2025-10-09 04:55:00+00:00,2025-10-09 05:00:00+00:00,A57,MAD,Madrid,es,SWISS,LX,Embraer 190,5.0,False,4,3,10,0,MAD,8.555555555555555,Regional
LX 2266,Departed,IsOperator,False,2025-10-09 05:00:00+00:00,2025-10-09 05:00:00+00:00,B08,DBV,Dubrovnik,hr,SWISS,LX,Airbus A320,0.0,False,5,3,10,0,DBV,7.6923076923076925,Narrow-body
KL 1916,Departed,IsOperator,False,2025-10-09 05:00:00+00:00,2025-10-09 05:00:00+00:00,A82,AMS,Amsterdam,nl,KLM,KL,Boeing 737,0.0,False,5,3,10,0,AMS,11.314754098360655,Narrow-body
LX 580,Departed,IsOperator,False,2025-10-09 05:00:00+00:00,2025-10-09 05:00:00+00:00,B10,MRS,Marseille,fr,SWISS,LX,Embraer 190,0.0,False,5,3,10,0,MRS,6.360655737704918,Regional
LX 814,Departed,IsOperator,False,2025-10-09 05:05:00+00:00,2025-10-09 05:05:00+00:00,B03,HAJ,Hanover,de,SWISS,LX,Embraer 190,0.0,False,5,3,10,0,HAJ,8.979057591623036,Regional
LX 316,Departed,IsOperator,False,2025-10-09 05:05:00+00:00,2025-10-09 05:05:00+00:00,D41,LHR,London,gb,SWISS,LX,Airbus A321 NEO,0.0,False,5,3,10,0,LHR,6.634457611668186,Narrow-body
LX 1412,Departed,IsOperator,False,2025-10-09 04:55:00+00:00,2025-10-09 05:05:00+00:00,D57,BEG,Belgrade,rs,SWISS,LX,Airbus A220-300,10.0,False,4,3,10,0,BEG,10.236607142857142,Narrow-body
IU 446,Departed,IsOperator,False,2025-10-09 05:05:00+00:00,2025-10-09 05:05:00+00:00,Unknown,RMF,Marsa Alam,eg,SW Italia,IU,Airbus A320,0.0,False,5,3,10,0,RMF,3.9135802469135803,Narrow-body
WK 5428,Departed,IsOperator,False,2025-10-09 04:45:00+00:00,2025-10-09 05:05:00+00:00,Unknown,Unknown,Emmen,Unknown,Edelweiss Air,WK,Airbus A320,20.0,False,4,3,10,0,Unknown,1.31237721021611,Narrow-body
LX 1266,Departed,IsOperator,False,2025-10-09 05:10:00+00:00,2025-10-09 05:10:00+00:00,A54,CPH,Copenhagen,dk,SWISS,LX,Airbus A220-300,0.0,False,5,3,10,0,CPH,6.48469387755102,Narrow-body
LX 390,Departed,IsOperator,False,2025-10-09 05:05:00+00:00,2025-10-09 05:15:00+00:00,D51,MAN,Manchester,gb,SWISS,LX,Embraer 190,10.0,False,5,3,10,0,MAN,10.26530612244898,Regional
LX 1712,Departed,IsOperator,False,2025-10-09 05:05:00+00:00,2025-10-09 05:15:00+00:00,B06,NAP,Nápoli,it,SWISS,LX,Embraer 195,10.0,False,5,3,10,0,NAP,8.4125,Regional
LX 562,Departed,IsOperator,False,2025-10-09 05:15:00+00:00,2025-10-09 05:15:00+00:00,A66,NCE,Nice,fr,SWISS,LX,Airbus A220-300,0.0,False,5,3,10,0,NCE,5.177177177177177,Narrow-body
LX 1726,Departed,IsOperator,False,2025-10-09 05:20:00+00:00,2025-10-09 05:20:00+00:00,A81,FCO,Rome,it,SWISS,LX,Airbus A321 NEO,0.0,False,5,3,10,0,FCO,4.507547169811321,Narrow-body
LX 2250,Departed,IsOperator,False,2025-10-09 05:10:00+00:00,2025-10-09 05:20:00+00:00,A71,BUD,Budapest,hu,SWISS,LX,Airbus A220-300,10.0,False,5,3,10,0,BUD,6.648648648648648,Narrow-body
LX 724,Departed,IsOperator,False,2025-10-09 05:20:00+00:00,2025-10-09 05:20:00+00:00,B01,AMS,Amsterdam,nl,SWISS,LX,Airbus A320 NEO,0.0,False,5,3,10,0,AMS,11.314754098360655,Narrow-body
LX 2802,Departed,IsOperator,False,2025-10-09 05:25:00+00:00,2025-10-09 05:25:00+00:00,B04,GVA,Geneva,ch,SWISS,LX,Airbus A320,0.0,False,5,3,10,0,GVA,7.534985422740525,Narrow-body
LX 632,Departed,IsOperator,False,2025-10-09 05:25:00+00:00,2025-10-09 05:25:00+00:00,A84,CDG,Paris,fr,SWISS,LX,Airbus A320 NEO,0.0,False,5,3,10,0,CDG,11.938775510204081,Narrow-body
LX 974,Departed,IsOperator,False,2025-10-09 05:20:00+00:00,2025-10-09 05:25:00+00:00,B07,BER,Berlin,de,SWISS,LX,Embraer 195,5.0,False,5,3,10,0,BER,7.192926045016077,Regional
LX 786,Departed,IsOperator,False,2025-10-09 05:25:00+00:00,2025-10-09 05:25:00+00:00,A67,BRU,Brussels,be,SWISS,LX,Airbus A321 NEO,0.0,False,5,3,10,0,BRU,8.1625,Narrow-body
LX 1952,Departed,IsOperator,False,2025-10-09 05:10:00+00:00,2025-10-09 05:25:00+00:00,B02,BCN,Barcelona,es,SWISS,LX,Airbus A321,15.0,False,5,3,10,0,BCN,9.162921348314606,Narrow-body
LX 1574,Departed,IsOperator,False,2025-10-09 05:20:00+00:00,2025-10-09 05:25:00+00:00,A73,VIE,Vienna,at,SWISS,LX,Airbus A320 NEO,5.0,False,5,3,10,0,VIE,6.910039113428944,Narrow-body
LX 1016,Departed,IsOperator,False,2025-10-09 05:30:00+00:00,2025-10-09 05:30:00+00:00,B09,DUS,Düsseldorf,de,SWISS,LX,Airbus A220-100,0.0,False,5,3,10,0,DUS,7.166666666666667,Narrow-body
WK 370,Departed,IsOperator,False,2025-10-09 05:30:00+00:00,2025-10-09 05:30:00+00:00,D39,LCA,Larnarca,cy,Edelweiss Air,WK,Airbus A320,0.0,False,5,3,10,0,LCA,8.384057971014492,Narrow-body
XXJ 530,Departed,IsOperator,False,2025-10-09 05:35:00+00:00,2025-10-09 05:30:00+00:00,Unknown,OTP,Bucharest,ro,Unknown/Private owner,Unknown,Bombardier Bd-100 Challenger 350,-5.0,False,5,3,10,0,OTP,11.805405405405406,Other
LX 1100,Departed,IsOperator,False,2025-10-09 05:15:00+00:00,2025-10-09 05:30:00+00:00,B05,MUC,Munich,de,SWISS,LX,Airbus A320,15.0,False,5,3,10,0,MUC,8.583617747440274,Narrow-body
LX 1050,Departed,IsOperator,False,2025-10-09 05:15:00+00:00,2025-10-09 05:30:00+00:00,A56,HAM,Hamburg,de,SWISS,LX,Airbus A220-300,15.0,False,5,3,10,0,HAM,6.9766355140186915,Narrow-body
IB 634,Departed,IsOperator,False,2025-10-09 05:30:00+00:00,2025-10-09 05:30:00+00:00,A85,MAD,Madrid,es,Iberia,IB,Airbus A320,0.0,False,5,3,10,0,MAD,8.555555555555555,Narrow-body
BA 709,Departed,IsOperator,False,2025-10-09 05:15:00+00:00,2025-10-09 05:30:00+00:00,E64,LHR,London,gb,British,BA,Airbus A319,15.0,False,5,3,10,0,LHR,6.634457611668186,Narrow-body
LX 1450,Departed,IsOperator,False,2025-10-09 05:30:00+00:00,2025-10-09 05:35:00+00:00,D55,SJJ,Sarajevo,ba,SWISS,LX,Embraer 195,5.0,False,5,3,10,0,SJJ,7.780821917808219,Regional
AF 1415,Departed,IsOperator,False,2025-10-09 05:45:00+00:00,2025-10-09 05:40:00+00:00,A83,CDG,Paris,fr,Air France,AF,Airbus A220-300,-5.0,False,5,3,10,0,CDG,11.938775510204081,Narrow-body
TK 1912,Departed,IsOperator,False,2025-10-09 05:40:00+00:00,2025-10-09 05:40:00+00:00,E62,IST,Istanbul,tr,Turkish,TK,Airbus A321 NEO,0.0,False,5,3,10,0,IST,12.96,Narrow-body
LX 1484,Departed,IsOperator,False,2025-10-09 05:50:00+00:00,2025-10-09 05:50:00+00:00,A72,PRG,Prague,cz,SWISS,LX,Airbus A220-300,0.0,False,5,3,10,0,PRG,8.132432432432433,Narrow-body
TCARK,Departed,IsOperator,False,2025-10-09 05:53:00+00:00,2025-10-09 05:53:00+00:00,Unknown,Unknown,Unknown,Unknown,Unknown/Private owner,Unknown,Bombardier Challenger 350,0.0,False,5,3,10,0,Unknown,1.31237721021611,Other
LX 2152,Departed,IsOperator,False,2025-10-09 04:50:00+00:00,2025-10-09 05:55:00+00:00,A75,PMI,Palma De Mallorca,es,SWISS,LX,Airbus A321 (Sharklets),65.0,True,4,3,10,0,PMI,10.341603053435115,Narrow-body
LX 730,Departed,IsOperator,False,2025-10-09 05:55:00+00:00,2025-10-09 05:55:00+00:00,A71,AMS,Amsterdam,nl,SWISS,LX,Embraer 190,0.0,False,5,3,10,0,AMS,11.314754098360655,Regional
LX 2060,Departed,IsOperator,False,2025-10-09 04:20:00+00:00,2025-10-09 06:00:00+00:00,A51,OPO,Porto,pt,SWISS,LX,Embraer 195,100.0,True,4,3,10,0,OPO,13.863888888888889,Regional
LX 5532,Departed,IsOperator,False,2025-10-09 06:00:00+00:00,2025-10-09 06:00:00+00:00,Unknown,CHR,Châteauroux/Déols,fr,SWISS,LX,Airbus A330,0.0,False,6,3,10,0,CHR,27.0,Wide-body
XXJ 55,Departed,IsOperator,False,2025-10-09 06:00:00+00:00,2025-10-09 06:00:00+00:00,Unknown,XCR,Châlons/Vatry,fr,Unknown/Private owner,Unknown,Embraer Pheom 300,0.0,False,6,3,10,0,XCR,0.0,Regional
LX 460,Departed,IsOperator,False,2025-10-09 06:10:00+00:00,2025-10-09 06:05:00+00:00,D35,LCY,London,gb,SWISS,LX,Airbus A220-100,-5.0,False,6,3,10,0,LCY,6.680981595092025,Narrow-body
EW 763,Departed,IsOperator,False,2025-10-09 06:05:00+00:00,2025-10-09 06:05:00+00:00,A82,CGN,Cologne,de,Eurowings,EW,Airbus A319,0.0,False,6,3,10,0,CGN,5.166666666666667,Narrow-body
DE 4312,Departed,IsOperator,False,2025-10-09 06:00:00+00:00,2025-10-09 06:10:00+00:00,A86,FRA,Frankfurt-am-Main,de,Condor,DE,Airbus A320,10.0,False,6,3,10,0,FRA,7.53932584269663,Narrow-body
LX 976,Departed,IsOperator,False,2025-10-09 06:15:00+00:00,2025-10-09 06:15:00+00:00,B31,BER,Berlin,de,SWISS,LX,Embraer 190,0.0,False,6,3,10,0,BER,7.192926045016077,Regional
LH 1183,Departed,IsOperator,False,2025-10-09 06:15:00+00:00,2025-10-09 06:15:00+00:00,A74,FRA,Frankfurt-am-Main,de,Lufthansa,LH,Airbus A320 (Sharklets),0.0,False,6,3,10,0,FRA,7.53932584269663,Narrow-body
SFG 55A,Departed,IsOperator,False,2025-10-09 06:20:00+00:00,2025-10-09 06:20:00+00:00,Unknown,Unknown,Unknown,Unknown,SFG,Unknown,Embraer Pheom 300,0.0,False,6,3,10,0,Unknown,1.31237721021611,Regional
U2 5190,Departed,IsOperator,False,2025-10-09 06:20:00+00:00,2025-10-09 06:20:00+00:00,A67,BER,Berlin,de,easyJet,U2,Airbus A320,0.0,False,6,3,10,0,BER,7.192926045016077,Narrow-body
U2 2987,Departed,IsOperator,False,2025-10-09 06:30:00+00:00,2025-10-09 06:28:00+00:00,A73,FCO,Rome,it,easyJet,U2,Airbus A319,-2.0,False,6,3,10,0,FCO,4.507547169811321,Narrow-body
EW 9761,Departed,IsOperator,False,2025-10-09 06:35:00+00:00,2025-10-09 06:35:00+00:00,A85,DUS,Düsseldorf,de,Eurowings,EW,Airbus A319,0.0,False,6,3,10,0,DUS,7.166666666666667,Narrow-body
LX 1678,Departed,IsOperator,False,2025-10-09 06:35:00+00:00,2025-10-09 06:35:00+00:00,A53,FLR,Firenze,it,SWISS,LX,Embraer 195,0.0,False,6,3,10,0,FLR,6.98936170212766,Regional
LX 750,Departed,IsOperator,False,2025-10-09 06:40:00+00:00,2025-10-09 06:40:00+00:00,A57,LUX,Luxembourg,lu,SWISS,LX,Embraer 190,0.0,False,6,3,10,0,LUX,6.031578947368421,Regional
LX 1660,Departed,IsOperator,False,2025-10-09 06:45:00+00:00,2025-10-09 06:45:00+00:00,A66,VCE,Venice,it,SWISS,LX,Airbus A220-300,0.0,False,6,3,10,0,VCE,4.755725190839694,Narrow-body
LX 1668,Departed,IsOperator,False,2025-10-09 06:45:00+00:00,2025-10-09 06:45:00+00:00,A55,BLQ,Bologna,it,SWISS,LX,Airbus A220-100,0.0,False,6,3,10,0,BLQ,4.107142857142857,Narrow-body
LX 1052,Departed,IsOperator,False,2025-10-09 06:30:00+00:00,2025-10-09 06:50:00+00:00,A81,HAM,Hamburg,de,SWISS,LX,Airbus A320 NEO,20.0,False,6,3,10,0,HAM,6.9766355140186915,Narrow-body
HBJWA,Departed,IsOperator,False,2025-10-09 06:50:00+00:00,2025-10-09 06:50:00+00:00,Unknown,BIQ,Biarritz/Anglet/Bayonne,fr,Unknown/Private owner,Unknown,Canadair Challenger,0.0,False,6,3,10,0,BIQ,4.5,Other
OS 562,Departed,IsOperator,False,2025-10-09 06:50:00+00:00,2025-10-09 06:50:00+00:00,A84,VIE,Vienna,at,Austrian,OS,Airbus A320,0.0,False,6,3,10,0,VIE,6.910039113428944,Narrow-body
SAZ 51,Departed,IsOperator,False,2025-10-09 06:52:00+00:00,2025-10-09 06:52:00+00:00,Unknown,Unknown,Unknown,Unknown,SAZ,Unknown,Canadair Challenger,0.0,False,6,3,10,0,Unknown,1.31237721021611,Other
LX 2272,Departed,IsOperator,False,2025-10-09 06:55:00+00:00,2025-10-09 06:55:00+00:00,B43,LJU,Ljubljana,si,SWISS,LX,Airbus A220-300,0.0,False,6,3,10,0,LJU,7.9818181818181815,Narrow-body
SN 2730,Departed,IsOperator,False,2025-10-09 07:00:00+00:00,2025-10-09 07:00:00+00:00,A52,BRU,Brussels,be,Brussels,SN,Airbus A220-300,0.0,False,7,3,10,0,BRU,8.1625,Narrow-body
LX 1612,Departed,IsOperator,False,2025-10-09 07:00:00+00:00,2025-10-09 07:00:00+00:00,B41,MXP,Milan,it,SWISS,LX,Airbus A320,0.0,False,7,3,10,0,MXP,5.628440366972477,Narrow-body
EW 7761,Departed,IsOperator,False,2025-10-09 07:05:00+00:00,2025-10-09 07:05:00+00:00,A82,HAM,Hamburg,de,Eurowings,EW,Airbus A320,0.0,False,7,3,10,0,HAM,6.9766355140186915,Narrow-body
KM 493,Departed,IsOperator,False,2025-10-09 07:15:00+00:00,2025-10-09 07:15:00+00:00,A83,MLA,Luqa,mt,KM Malta,KM,Airbus A320 (Sharklets),0.0,False,7,3,10,0,MLA,9.49090909090909,Narrow-body
EW 8761,Departed,IsOperator,False,2025-10-09 07:05:00+00:00,2025-10-09 07:20:00+00:00,A72,BER,Berlin,de,Eurowings,EW,Airbus A320,15.0,False,7,3,10,0,BER,7.192926045016077,Narrow-body
LX 1852,Departed,IsOperator,False,2025-10-09 07:15:00+00:00,2025-10-09 07:20:00+00:00,A86,SKG,Thessaloniki,gr,SWISS,LX,Airbus A320 NEO,5.0,False,7,3,10,0,SKG,5.921052631578948,Narrow-body
KL 1918,Departed,IsOperator,False,2025-10-09 07:20:00+00:00,2025-10-09 07:20:00+00:00,B31,AMS,Amsterdam,nl,KLM,KL,Boeing 737,0.0,False,7,3,10,0,AMS,11.314754098360655,Narrow-body
LX 2804,Departed,IsOperator,False,2025-10-09 07:10:00+00:00,2025-10-09 07:25:00+00:00,A71,GVA,Geneva,ch,SWISS,LX,Airbus A320,15.0,False,7,3,10,0,GVA,7.534985422740525,Narrow-body
LX 1102,Departed,IsOperator,False,2025-10-09 07:30:00+00:00,2025-10-09 07:30:00+00:00,A66,MUC,Munich,de,SWISS,LX,Embraer 195,0.0,False,7,3,10,0,MUC,8.583617747440274,Regional
LX 1830,Departed,IsOperator,False,2025-10-09 07:25:00+00:00,2025-10-09 07:30:00+00:00,B35,ATH,Athens,gr,SWISS,LX,Airbus A321 NEO,5.0,False,7,3,10,0,ATH,9.11860465116279,Narrow-body
EN 8117,Departed,IsOperator,False,2025-10-09 07:30:00+00:00,2025-10-09 07:35:00+00:00,A56,FRA,Frankfurt-am-Main,de,Air Dolomiti,EN,Embraer 190,5.0,False,7,3,10,0,FRA,7.53932584269663,Regional
LX 2174,Departed,IsOperator,False,2025-10-09 07:35:00+00:00,2025-10-09 07:35:00+00:00,A75,ALC,Alicante,es,SWISS,LX,Airbus A321,0.0,False,7,3,10,0,ALC,9.637795275590552,Narrow-body
LX 1164,Departed,IsOperator,False,2025-10-09 07:35:00+00:00,2025-10-09 07:35:00+00:00,A53,STR,Stuttgart,de,SWISS,LX,Airbus A220-300,0.0,False,7,3,10,0,STR,5.4523809523809526,Narrow-body
U2 7290,Departed,IsOperator,False,2025-10-09 07:30:00+00:00,2025-10-09 07:38:00+00:00,A73,PMI,Palma De Mallorca,es,easyJet,U2,Airbus A319,8.0,False,7,3,10,0,PMI,10.341603053435115,Narrow-body
QR 94,Departed,IsOperator,False,2025-10-09 07:40:00+00:00,2025-10-09 07:40:00+00:00,E57,DOH,Doha,qa,Qatar,QR,Airbus A350-900,0.0,False,7,3,10,0,DOH,3.429411764705882,Wide-body
LX 1248,Departed,IsOperator,False,2025-10-09 07:40:00+00:00,2025-10-09 07:40:00+00:00,B39,ARN,Stockholm,se,SWISS,LX,Airbus A220-300,0.0,False,7,3,10,0,ARN,9.477031802120141,Narrow-body
LX 154,Departed,IsOperator,False,2025-10-09 07:45:00+00:00,2025-10-09 07:45:00+00:00,E27,BOM,Mumbai,in,SWISS,LX,Airbus A330,0.0,False,7,3,10,0,BOM,6.944444444444445,Wide-body
JU 331,Departed,IsOperator,False,2025-10-09 07:30:00+00:00,2025-10-09 07:45:00+00:00,E23,BEG,Belgrade,rs,Air Serbia,JU,Embraer 190,15.0,False,7,3,10,0,BEG,10.236607142857142,Regional
LX 2110,Departed,IsOperator,False,2025-10-09 07:40:00+00:00,2025-10-09 07:45:00+00:00,B38,AGP,Málaga,es,SWISS,LX,Airbus A321,5.0,False,7,3,10,0,AGP,10.074906367041198,Narrow-body
NJE 708,Departed,IsOperator,False,2025-10-09 08:05:00+00:00,2025-10-09 07:50:00+00:00,Unknown,FMO,Münster,de,NetJets Europe,Unknown,Embraer Pheom 300,-15.0,False,8,3,10,0,FMO,-0.3125,Regional
UA 12,Departed,IsOperator,False,2025-10-09 07:50:00+00:00,2025-10-09 07:50:00+00:00,E42,ORD,Chicago,us,United,UA,Boeing 767,0.0,False,7,3,10,0,ORD,15.425287356321839,Wide-body
XQ 125,Departed,IsOperator,False,2025-10-09 07:40:00+00:00,2025-10-09 07:59:00+00:00,E62,AYT,Antalya,tr,Sun Express,XQ,Boeing 737-800,19.0,False,7,3,10,0,AYT,14.958677685950413,Narrow-body
VY 6247,Departed,IsOperator,False,2025-10-09 07:35:00+00:00,2025-10-09 08:00:00+00:00,A85,BCN,Barcelona,es,Vueling,VY,Airbus A320,25.0,False,7,3,10,0,BCN,9.162921348314606,Narrow-body
XXC 4,Departed,IsOperator,False,2025-10-09 08:00:00+00:00,2025-10-09 08:00:00+00:00,Unknown,BWK,Brač Island,hr,Unknown/Private owner,Unknown,Cessna 525 Citation Jet,0.0,False,8,3,10,0,BWK,0.0,Other
XXC 800,Departed,IsOperator,False,2025-10-09 08:00:00+00:00,2025-10-09 08:00:00+00:00,Unknown,HAM,Hamburg,de,Unknown/Private owner,Unknown,Cessna 525 Citation,0.0,False,8,3,10,0,HAM,6.9766355140186915,Other
LX 80,Departed,IsOperator,False,2025-10-09 07:55:00+00:00,2025-10-09 08:00:00+00:00,E67,YYZ,Toronto,ca,SWISS,LX,Airbus A330,5.0,False,7,3,10,0,YYZ,12.20388349514563,Wide-body
LX 2158,Departed,IsOperator,False,2025-10-09 08:00:00+00:00,2025-10-09 08:05:00+00:00,A74,PMI,Palma De Mallorca,es,SWISS,LX,Airbus A321,5.0,False,8,3,10,0,PMI,10.341603053435115,Narrow-body
BA 8764,Departed,IsOperator,False,2025-10-09 08:05:00+00:00,2025-10-09 08:05:00+00:00,E64,LCY,London,gb,British,BA,Embraer 190,0.0,False,8,3,10,0,LCY,6.680981595092025,Regional
LX 16,Departed,IsOperator,False,2025-10-09 08:00:00+00:00,2025-10-09 08:10:00+00:00,E26,JFK,New York,us,SWISS,LX,Airbus A330,10.0,False,8,3,10,0,JFK,8.972868217054264,Wide-body
UA 135,Departed,IsOperator,False,2025-10-09 08:10:00+00:00,2025-10-09 08:10:00+00:00,E43,EWR,Newark,us,United,UA,Boeing 767-300,0.0,False,8,3,10,0,EWR,15.626436781609195,Wide-body
TSW 1M,Departed,IsOperator,False,2025-10-09 08:16:00+00:00,2025-10-09 08:16:00+00:00,Unknown,HAM,Hamburg,de,TSW,Unknown,Airbus A319,0.0,False,8,3,10,0,HAM,6.9766355140186915,Narrow-body
SK 602,Departed,IsOperator,False,2025-10-09 08:20:00+00:00,2025-10-09 08:20:00+00:00,B43,CPH,Copenhagen,dk,SAS,SK,Boeing 737-800,0.0,False,8,3,10,0,CPH,6.48469387755102,Narrow-body
TSW 4W,Departed,IsOperator,False,2025-10-09 08:23:00+00:00,2025-10-09 08:23:00+00:00,Unknown,Unknown,Unknown,Unknown,TSW,Unknown,Cessna 525 Citation Jet,0.0,False,8,3,10,0,Unknown,1.31237721021611,Other
XQ 861,Departed,IsOperator,False,2025-10-09 08:25:00+00:00,2025-10-09 08:25:00+00:00,E46,ADB,İzmir,tr,Sun Express,XQ,Boeing 737,0.0,False,8,3,10,0,ADB,11.788732394366198,Narrow-body
U2 8472,Departed,IsOperator,False,2025-10-09 08:25:00+00:00,2025-10-09 08:25:00+00:00,E57,LGW,London,gb,easyJet,U2,Airbus A321 (Sharklets),0.0,False,8,3,10,0,LGW,11.219917012448132,Narrow-body
LX 318,Departed,IsOperator,False,2025-10-09 08:30:00+00:00,2025-10-09 08:30:00+00:00,D54,LHR,London,gb,SWISS,LX,Airbus A220-300,0.0,False,8,3,10,0,LHR,6.634457611668186,Narrow-body
C6 7458,Departed,IsOperator,True,2025-10-09 08:30:00+00:00,2025-10-09 08:30:00+00:00,Unknown,OSR,Ostrava,cz,My Freighter,Unknown,Boeing 767-300,0.0,False,8,3,10,0,OSR,3.6666666666666665,Wide-body
6K 458,Departed,IsOperator,False,2025-10-09 07:55:00+00:00,2025-10-09 08:30:00+00:00,E53,AYT,Antalya,tr,Songbird,6K,Airbus A330,35.0,False,7,3,10,0,AYT,14.958677685950413,Wide-body
HBTIK,Departed,IsOperator,False,2025-10-09 08:34:00+00:00,2025-10-09 08:34:00+00:00,Unknown,Unknown,Dubendorf,Unknown,Unknown/Private owner,Unknown,Airbus Helicopters Ec-145,0.0,False,8,3,10,0,Unknown,1.31237721021611,Other
LO 412,Departed,IsOperator,False,2025-10-09 08:30:00+00:00,2025-10-09 08:35:00+00:00,A55,WAW,Warsaw,pl,LOT - Polish,LO,Embraer 195,5.0,False,8,3,10,0,WAW,9.523690773067331,Regional
AY 1512,Departed,IsOperator,False,2025-10-09 08:50:00+00:00,2025-10-09 08:40:00+00:00,A81,HEL,Helsinki,fi,Finnair,AY,Airbus A320,-10.0,False,8,3,10,0,HEL,9.212290502793296,Narrow-body
OS 552,Departed,IsOperator,False,2025-10-09 08:40:00+00:00,2025-10-09 08:40:00+00:00,B31,VIE,Vienna,at,Austrian,OS,Airbus A320,0.0,False,8,3,10,0,VIE,6.910039113428944,Narrow-body
LX 1210,Departed,IsOperator,False,2025-10-09 08:40:00+00:00,2025-10-09 08:45:00+00:00,B41,OSL,Oslo,no,SWISS,LX,Embraer 190,5.0,False,8,3,10,0,OSL,6.579787234042553,Regional
TK 1908,Departed,IsOperator,False,2025-10-09 08:45:00+00:00,2025-10-09 08:45:00+00:00,E58,IST,Istanbul,tr,Turkish,TK,Airbus A321 NEO,0.0,False,8,3,10,0,IST,12.96,Narrow-body
LX 400,Departed,IsOperator,False,2025-10-09 08:50:00+00:00,2025-10-09 08:50:00+00:00,D55,DUB,Dublin,ie,SWISS,LX,Airbus A220-300,0.0,False,8,3,10,0,DUB,9.088339222614842,Narrow-body
HBJWB,Departed,IsOperator,False,2025-10-09 08:50:00+00:00,2025-10-09 08:50:00+00:00,Unknown,BDS,Brindisi,it,Unknown/Private owner,Unknown,Bombardier Challenger 600,0.0,False,8,3,10,0,BDS,7.729166666666667,Other
U2 6748,Departed,IsOperator,False,2025-10-09 08:40:00+00:00,2025-10-09 08:50:00+00:00,A84,LIS,Lisbon,pt,easyJet,U2,Airbus A320 (Sharklets),10.0,False,8,3,10,0,LIS,17.059063136456214,Narrow-body
AZ 571,Departed,IsOperator,False,2025-10-09 08:55:00+00:00,2025-10-09 08:55:00+00:00,B35,FCO,Rome,it,ITA,AZ,Airbus A220-300,0.0,False,8,3,10,0,FCO,4.507547169811321,Narrow-body
LX 1790,Departed,IsOperator,False,2025-10-09 08:55:00+00:00,2025-10-09 09:00:00+00:00,A82,MLA,Luqa,mt,SWISS,LX,Airbus A320 NEO,5.0,False,8,3,10,0,MLA,9.49090909090909,Narrow-body
PC 5028,Departed,IsOperator,False,2025-10-09 08:55:00+00:00,2025-10-09 09:00:00+00:00,D51,AYT,Antalya,tr,Pegasus,PC,Airbus A320 NEO,5.0,False,8,3,10,0,AYT,14.958677685950413,Narrow-body
WK 360,Departed,IsOperator,False,2025-10-09 09:00:00+00:00,2025-10-09 09:00:00+00:00,A67,SMI,Samos Island,gr,Edelweiss Air,WK,Airbus A320,0.0,False,9,3,10,0,SMI,-1.25,Narrow-body
CY 1351,Departed,IsOperator,False,2025-10-09 09:00:00+00:00,2025-10-09 09:00:00+00:00,D57,LCA,Larnarca,cy,Cyprus,CY,Airbus A320,0.0,False,9,3,10,0,LCA,8.384057971014492,Narrow-body
MFX 7458,Departed,IsOperator,False,2025-10-09 09:01:00+00:00,2025-10-09 09:01:00+00:00,Unknown,OSR,Ostrava,cz,MFX,Unknown,Boeing 767-200,0.0,False,9,3,10,0,OSR,3.6666666666666665,Wide-body
