number,status,codeshareStatus,isCargo,scheduled_utc,revised_utc,gate,dest_iata,dest_name,dest_country,airline_name,airline_iata,aircraft_model,delay_min,is_outlier,dep_hour,dep_dow,dep_month,is_weekend,route,route_avg_delay,aircraft_family
LX 1790,Departed,IsOperator,False,2025-10-19 15:25:00+00:00,2025-10-19 15:25:00+00:00,B07,MLA,Luqa,mt,SWISS,LX,Airbus A220-300,0.0,False,15,6,10,1,MLA,9.49090909090909,Narrow-body
LX 18,Departed,IsOperator,False,2025-10-19 15:20:00+00:00,2025-10-19 15:25:00+00:00,D38,EWR,Newark,us,SWISS,LX,Airbus A330,5.0,False,15,6,10,1,EWR,15.626436781609195,Wide-body
LX 982,Departed,IsOperator,False,2025-10-19 15:30:00+00:00,2025-10-19 15:30:00+00:00,A56,BER,Berlin,de,SWISS,LX,Embraer 195,0.0,False,15,6,10,1,BER,7.192926045016077,Regional
LX 1418,Departed,IsOperator,False,2025-10-19 15:25:00+00:00,2025-10-19 15:30:00+00:00,D52,BEG,Belgrade,rs,SWISS,LX,Airbus A220-100,5.0,False,15,6,10,1,BEG,10.236607142857142,Narrow-body
LX 1664,Departed,IsOperator,False,2025-10-19 15:30:00+00:00,2025-10-19 15:30:00+00:00,A83,VCE,Venice,it,SWISS,LX,Airbus A321,0.0,False,15,6,10,1,VCE,4.755725190839694,Narrow-body
LX 734,Departed,IsOperator,False,2025-10-19 15:35:00+00:00,2025-10-19 15:35:00+00:00,B03,AMS,Amsterdam,nl,SWISS,LX,Airbus A220-300,0.0,False,15,6,10,1,AMS,11.314754098360655,Narrow-body
LX 52,Departed,IsOperator,False,2025-10-19 15:35:00+00:00,2025-10-19 15:35:00+00:00,E42,BOS,Boston,us,SWISS,LX,Airbus A330,0.0,False,15,6,10,1,BOS,14.281818181818181,Wide-body
LX 1276,Departed,IsOperator,False,2025-10-19 15:30:00+00:00,2025-10-19 15:35:00+00:00,B06,CPH,Copenhagen,dk,SWISS,LX,Airbus A320,5.0,False,15,6,10,1,CPH,6.48469387755102,Narrow-body
LX 2258,Departed,IsOperator,False,2025-10-19 15:40:00+00:00,2025-10-19 15:40:00+00:00,A52,BUD,Budapest,hu,SWISS,LX,Embraer 195,0.0,False,15,6,10,1,BUD,6.648648648648648,Regional
LX 644,Departed,IsOperator,False,2025-10-19 15:35:00+00:00,2025-10-19 15:40:00+00:00,B08,CDG,Paris,fr,SWISS,LX,Airbus A220-300,5.0,False,15,6,10,1,CDG,11.938775510204081,Narrow-body
LX 828,Departed,IsOperator,False,2025-10-19 15:40:00+00:00,2025-10-19 15:40:00+00:00,A81,HAJ,Hanover,de,SWISS,LX,Airbus A220-300,0.0,False,15,6,10,1,HAJ,8.979057591623036,Narrow-body
KL 1924,Departed,IsOperator,False,2025-10-19 15:35:00+00:00,2025-10-19 15:40:00+00:00,B33,AMS,Amsterdam,nl,KLM,KL,Boeing 737-800,5.0,False,15,6,10,1,AMS,11.314754098360655,Narrow-body
LX 1174,Departed,IsOperator,False,2025-10-19 15:40:00+00:00,2025-10-19 15:40:00+00:00,A54,STR,Stuttgart,de,SWISS,LX,Airbus A220-300,0.0,False,15,6,10,1,STR,5.4523809523809526,Narrow-body
LX 1582,Departed,IsOperator,False,2025-10-19 15:50:00+00:00,2025-10-19 15:50:00+00:00,A85,VIE,Vienna,at,SWISS,LX,Airbus A320 NEO,0.0,False,15,6,10,1,VIE,6.910039113428944,Narrow-body
LX 1622,Departed,IsOperator,False,2025-10-19 15:45:00+00:00,2025-10-19 15:50:00+00:00,A51,MXP,Milan,it,SWISS,LX,Embraer 190,5.0,False,15,6,10,1,MXP,5.628440366972477,Regional
LX 1732,Departed,IsOperator,False,2025-10-19 15:45:00+00:00,2025-10-19 15:50:00+00:00,A67,FCO,Rome,it,SWISS,LX,Airbus A321,5.0,False,15,6,10,1,FCO,4.507547169811321,Narrow-body
LX 854,Departed,IsOperator,False,2025-10-19 15:50:00+00:00,2025-10-19 15:50:00+00:00,A71,BRE,Bremen,de,SWISS,LX,Embraer 190,0.0,False,15,6,10,1,BRE,7.589285714285714,Regional
WK 398,Departed,IsOperator,False,2025-10-19 15:50:00+00:00,2025-10-19 15:55:00+00:00,A86,CTA,Catania,it,Edelweiss Air,WK,Airbus A320,5.0,False,15,6,10,1,CTA,5.625,Narrow-body
LX 1054,Departed,IsOperator,False,2025-10-19 15:40:00+00:00,2025-10-19 15:55:00+00:00,A66,HAM,Hamburg,de,SWISS,LX,Airbus A220-300,15.0,False,15,6,10,1,HAM,6.9766355140186915,Narrow-body
DE 4310,Departed,IsOperator,False,2025-10-19 16:00:00+00:00,2025-10-19 15:58:00+00:00,B02,FRA,Frankfurt-am-Main,de,Condor,DE,Airbus A320,-2.0,False,16,6,10,1,FRA,7.53932584269663,Narrow-body
LX 180,Departed,IsOperator,False,2025-10-19 15:55:00+00:00,2025-10-19 16:00:00+00:00,E43,BKK,Bangkok,th,SWISS,LX,Boeing 777,5.0,False,15,6,10,1,BKK,10.163742690058479,Wide-body
DCDOC,Departed,IsOperator,False,2025-10-19 17:05:00+00:00,2025-10-19 16:00:00+00:00,Unknown,CGN,Cologne,de,Unknown/Private owner,Unknown,Learjet 45,-65.0,True,17,6,10,1,CGN,5.166666666666667,Other
LX 788,Departed,IsOperator,False,2025-10-19 15:55:00+00:00,2025-10-19 16:05:00+00:00,B05,BRU,Brussels,be,SWISS,LX,Airbus A320 NEO,10.0,False,15,6,10,1,BRU,8.1625,Narrow-body
LX 2810,Departed,IsOperator,False,2025-10-19 16:00:00+00:00,2025-10-19 16:05:00+00:00,A72,GVA,Geneva,ch,SWISS,LX,Airbus A320,5.0,False,16,6,10,1,GVA,7.534985422740525,Narrow-body
